            The	        DT
           film	        NN
         starts	       VBZ
           with	        IN
             an	        DT
          adult	        NN
          Bobby	       NNP
        Fischer	       NNP
             in	        IN
              a	        DT
       paranoid	        JJ
          state	        NN
              ,	         ,
        worried	       VBN
             he	       PRP
             is	       VBZ
          being	       VBG
          spied	       VBN
           upon	        IN
             by	        IN
            the	        DT
        Soviets	      NNPS
              .	         .
            The	        DT
           film	        NN
        flashes	       VBZ
           back	        RB
             to	        TO
       Brooklyn	       NNP
           when	       WRB
        Fischer	       NNP
            was	       VBD
              6	        CD
          years	       NNS
            old	        JJ
              ;	         :
             he	       PRP
             is	       VBZ
          shown	       VBN
           even	        RB
           then	        RB
        feeling	       VBG
              a	        DT
        general	        JJ
          sense	        NN
             of	        IN
       paranoia	        NN
              .	         .
            His	      PRP$
         mother	        NN
              ,	         ,
              a	        DT
        Russian	        JJ
      immigrant	        NN
              ,	         ,
       supports	       VBZ
            his	      PRP$
        general	        JJ
          fears	       NNS
              ,	         ,
        telling	       VBG
            him	       PRP
            she	       PRP
         thinks	       VBZ
              a	        DT
      socialist	        JJ
     revolution	        NN
          could	        MD
          begin	        VB
             in	        IN
            the	        DT
           U.S.	       NNP
            and	        CC
           that	        IN
           they	       PRP
            are	       VBP
          being	       VBG
          spied	       VBN
           upon	        IN
              .	         .

             He	       PRP
       immerses	       VBZ
        himself	       PRP
             in	        IN
          chess	        NN
          study	        NN
            and	        CC
        becomes	       VBZ
             an	        DT
         expert	        JJ
          chess	        NN
         player	        NN
              .	         .
            His	      PRP$
         mother	        NN
              ,	         ,
        worried	        JJ
           that	        IN
          chess	        NN
             is	       VBZ
       becoming	       VBG
            his	      PRP$
      obsession	        NN
              ,	         ,
          takes	       VBZ
            him	       PRP
             to	        TO
             an	        DT
          adult	        NN
          chess	        NN
           club	        NN
              .	         .
             He	       PRP
      impresses	       VBZ
            the	        DT
       resident	        JJ
          chess	        NN
         master	        NN
            and	        CC
             is	       VBZ
       accepted	       VBN
             as	        IN
              a	        DT
        student	        NN
              .	         .
            His	      PRP$
       coaching	        NN
          leads	       VBZ
            him	       PRP
           into	        IN
            the	        DT
          world	        NN
             of	        IN
   professional	        JJ
          chess	        NN
  championships	       NNS
              ,	         ,
            and	        CC
             he	       PRP
           soon	        RB
        becomes	       VBZ
            the	        DT
       youngest	       JJS
    grandmaster	        NN
           ever	        RB
              .	         .
       Personal	        JJ
       tensions	       NNS
           lead	       VBP
             to	        TO
       frequent	        JJ
      outbursts	       NNS
              .	         .
             He	       PRP
         enters	       VBZ
              a	        DT
   championship	        NN
          match	        NN
             in	        IN
       Bulgaria	       NNP
          where	       WRB
             he	       PRP
         senses	       VBZ
           that	        IN
           they	       PRP
            are	       VBP
         trying	       VBG
             to	        TO
        isolate	        VB
            him	       PRP
              ,	         ,
            and	        CC
        alleges	       VBZ
      collusion	        NN
              ,	         ,
          which	       WDT
             he	       PRP
          feels	       VBZ
          makes	       VBZ
             it	       PRP
     impossible	        JJ
            for	        IN
              a	        DT
           non-	        JJ
         Soviet	        JJ
         player	        NN
             to	        TO
            win	        VB
            the	        DT
   championship	        NN
              .	         .
             He	       PRP
          quits	       VBZ
            the	        DT
     tournament	        NN
            and	        CC
           ends	       VBZ
            his	      PRP$
   professional	        JJ
         career	        NN
              .	         .

           When	       WRB
             he	       PRP
        returns	       VBZ
             to	        TO
            the	        DT
           U.S.	       NNP
              ,	         ,
              a	        DT
         lawyer	        NN
           says	       VBZ
           that	        IN
             he	       PRP
           will	        MD
           help	        VB
            him	       PRP
         modify	        VB
            the	        DT
     tournament	        NN
          rules	       NNS
              ,	         ,
       offering	       VBG
            his	      PRP$
       services	       NNS
           free	        JJ
             of	        IN
           cost	        NN
             to	        TO
           give	        VB
        Fischer	       NNP
              a	        DT
           fair	        JJ
         chance	        NN
             to	        TO
            win	        VB
         future	        JJ
    tournaments	       NNS
              .	         .
        Fischer	       NNP
       re-enter	       VBP
              s	       PRP
            the	        DT
          world	        NN
             of	        IN
   professional	        JJ
          chess	        NN
              .	         .
             He	       PRP
        selects	       VBZ
        William	       NNP
       Lombardy	       NNP
              ,	         ,
              a	        DT
         former	        JJ
          World	       NNP
         Junior	       NNP
          Chess	       NNP
       Champion	       NNP
            who	        WP
            was	       VBD
              a	        DT
       Catholic	        JJ
         priest	        NN
              ,	         ,
             as	        IN
            his	      PRP$
         second	        JJ
              .	         .
       Lombardy	       NNP
          tries	       VBZ
             to	        TO
           calm	        VB
        Fischer	       NNP
             's	       POS
      excessive	        JJ
        demands	       NNS
              ,	         ,
          which	       WDT
          leads	       VBZ
        Fischer	       NNP
           back	        RB
             to	        TO
        winning	       VBG
    tournaments	       NNS
              .	         .

             He	       PRP
      overcomes	       VBZ
           most	       JJS
             of	        IN
            the	        DT
   grandmasters	       NNS
         across	        IN
            the	        DT
          world	        NN
            and	        CC
           gets	       VBZ
          close	        JJ
             to	        TO
            the	        DT
          world	        NN
   championship	        NN
              ,	         ,
       becoming	       VBG
              a	        DT
      celebrity	        NN
           with	        IN
            the	        DT
       American	        JJ
         public	        NN
              ,	         ,
          which	       WDT
          makes	       VBZ
            him	       PRP
  overconfident	        JJ
              .	         .
             He	       PRP
           then	        RB
          loses	       VBZ
             to	        TO
          Boris	       NNP
        Spassky	       NNP
              ,	         ,
            the	        DT
        current	        JJ
          world	        NN
       champion	        NN
              .	         .

             It	       PRP
             is	       VBZ
            the	        DT
         height	        NN
             of	        IN
            the	        DT
           Cold	       NNP
            War	       NNP
            era	        NN
              ,	         ,
            and	        CC
            the	        DT
           U.S.	       NNP
             is	       VBZ
      desperate	        JJ
             to	        TO
      challenge	        VB
        Russian	        JJ
      dominance	        NN
             in	        IN
            the	        DT
          world	        NN
             of	        IN
          chess	        NN
              .	         .
            The	        DT
          White	       NNP
          House	       NNP
        closely	        RB
       monitors	       VBZ
            his	      PRP$
       progress	        NN
              .	         .
            The	        DT
       pressure	        NN
             to	        TO
            win	        VB
          every	        DT
           game	        NN
         drives	       VBZ
        Fischer	       NNP
        towards	        IN
      psychosis	        NN
              .	         .
            His	      PRP$
         sister	        NN
       suspects	       VBZ
           that	        IN
             he	       PRP
             is	       VBZ
          under	        IN
         severe	        JJ
         mental	        JJ
         stress	        NN
              ,	         ,
        fearing	       VBG
            for	        IN
            his	      PRP$
           life	        NN
        because	        IN
             he	       PRP
          might	        MD
         defeat	        VB
        Spassky	       NNP
              .	         .

      Reporters	       NNS
            and	        CC
           fans	       NNS
            all	        DT
       assemble	       VBP
             at	        IN
        Reykjav	       NNP
              k	        NN
              ,	         ,
        Iceland	       NNP
             to	        TO
        witness	        VB
            the	        DT
       historic	        JJ
          World	       NNP
          Chess	       NNP
   Championship	       NNP
           1972	        CD
          match	        NN
        between	        IN
        Fischer	       NNP
            and	        CC
        Spassky	       NNP
              .	         .
        Fischer	       NNP
             is	       VBZ
         easily	        RB
     distracted	       VBN
             by	        IN
          small	        JJ
         noises	       NNS
           like	        IN
        someone	        NN
       coughing	       VBG
             in	        IN
            the	        DT
       audience	        NN
              ,	         ,
        rolling	       VBG
        cameras	       NNS
              ,	         ,
             or	        CC
            the	        DT
          pawns	       NNS
             on	        IN
            the	        DT
          chess	        NN
          board	        NN
              ,	         ,
          which	       WDT
          leads	       VBZ
            him	       PRP
             to	        TO
           make	        VB
        extreme	        JJ
        demands	       NNS
            for	        IN
        silence	        NN
            and	        CC
          fewer	       JJR
   distractions	       NNS
              .	         .
        Spassky	       NNP
       concedes	       VBZ
             to	        TO
            all	        DT
            his	      PRP$
        demands	       NNS
             to	        TO
           make	        VB
           sure	        JJ
            the	        DT
          match	        NN
      continues	       VBZ
             so	        RB
           that	        IN
             he	       PRP
            can	        MD
            win	        VB
            the	        DT
        24-game	        JJ
          match	        NN
             in	        IN
            the	        DT
          right	        JJ
         spirit	        NN
              .	         .

          Bobby	       NNP
          loses	       VBZ
            the	        DT
          first	        JJ
           game	        NN
              ,	         ,
            and	        CC
          doesn	        NN
             't	        NN
           show	        VB
             up	        RP
            for	        IN
            the	        DT
         second	        NN
              ,	         ,
      therefore	        RB
         losing	       VBG
             by	        IN
        forfeit	        NN
              .	         .
        Finally	        RB
              ,	         ,
             he	       PRP
           wins	       VBZ
            the	        DT
          third	        JJ
           game	        NN
          using	       VBG
 unconventional	        JJ
        tactics	       NNS
              .	         .
      Americans	      NNPS
            are	       VBP
       thrilled	       VBN
           with	        IN
          Bobby	       NNP
             's	       POS
        victory	        NN
              .	         .
           Game	       NNP
           four	        CD
             is	       VBZ
              a	        DT
           draw	        NN
              ,	         ,
            but	        CC
        Fischer	       NNP
           wins	       VBZ
           game	        NN
           five	        CD
          after	        IN
        Spassky	       NNP
        himself	       PRP
         begins	       VBZ
        showing	       VBG
          signs	       NNS
             of	        IN
       paranoia	        NN
              .	         .
           With	        IN
            the	        DT
          match	        NN
            now	        RB
           more	       RBR
    interesting	        JJ
              ,	         ,
        experts	       NNS
      speculate	       VBP
           that	        IN
            the	        DT
           next	        JJ
           game	        NN
           will	        MD
      determine	        VB
            the	        DT
        outcome	        NN
             of	        IN
            the	        DT
     tournament	        NN
              .	         .
             In	        IN
           game	        NN
            six	        CD
        Fischer	       NNP
          plays	       VBZ
          using	       VBG
             an	        DT
        opening	        NN
             he	       PRP
            has	       VBZ
          never	        RB
         played	       VBN
         before	        RB
              ,	         ,
     surprising	        JJ
            the	        DT
       audience	        NN
            and	        CC
        winning	       VBG
              .	         .
        Spassky	       NNP
      expresses	       VBZ
         amazed	        JJ
     admiration	        NN
            and	        CC
          rises	       VBZ
             to	        TO
           lead	        VB
            the	        DT
       applause	        NN
           from	        IN
